,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
114,"Lake Anza, Wildcat Gorge, Meadows Canyon, Curran Trails",EASY,273,"Tilden Regional Park
",3.3 miles,498 feet,Loop,"dog friendly, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, lake, views, bugs, muddy,",4.2
115,Hollywood Sign via Canyon Drive,MODERATE,277,"Griffith Park
",5.7 miles,"1,161 feet",Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, road biking, trail running, walking, bird watching, paved, views, wild flowers, wildlife, bugs, rocky, washed out,",4.5
116,Marble Falls Trail,MODERATE,326,"Sequoia National Park
",7.4 miles,"1,627 feet",Out & Back,"camping, hiking, nature trips, trail running, walking, bird watching, forest, river, views, waterfall, wild flowers, wildlife, no dogs,",4.4
117,Pine Knot Trail to Grand View Point,MODERATE,337,"San Bernardino National Forest
",6.6 miles,"1,095 feet",Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, rocky,",4.6
118,Mission Peak from Ohlone College,HARD,500,"Mission Peak Regional Preserve
",7.3 miles,"2,145 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife, no shade,",4.5
119,Bishop Peak Trail from Patricia Drive,MODERATE,489,"Bishop Peak Natural Area
",3.4 miles,"1,131 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, rocky, scramble,",4.6
120,Cuyamaca Peak via Azalea Glen Loop,MODERATE,430,"Cuyamaca Rancho State Park
",7.7 miles,"1,833 feet",Loop,"hiking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife, rocky, snow, no dogs,",4.5
121,Granite Lake & Maggie's Peaks,MODERATE,229,"Lake Tahoe Basin Management Unit
",3.6 miles,"1,761 feet",Out & Back,"dogs on leash, hiking, rock climbing, trail running, lake, views, rocky, scramble, snow,",4.8
122,Annie's Canyon via North Rios Trail,MODERATE,540,"San Elijo Lagoon Ecological Reserve
",1.8 miles,134 feet,Loop,"dogs on leash, kid friendly, hiking, river, views, wild flowers, muddy, scramble, no shade,",4.4
123,Marion Mountain to San Jacinto,HARD,289,"Mount San Jacinto State Park
",12.1 miles,"4,468 feet",Out & Back,"backpacking, camping, hiking, nature trips, snowshoeing, trail running, bird watching, forest, river, views, wild flowers, wildlife, bugs, over grown, rocky, scramble, no shade, no dogs,",4.7
124,Beaudry Loop,MODERATE,529,"Brand Park
",5.5 miles,"1,515 feet",Loop,"dog friendly, hiking, mountain biking, trail running, views, wild flowers, wildlife, rocky,",4.4
125,Mother Miguel Mountain Via Rock House Trail,MODERATE,541,"San Diego National Wildlife Refuge
",4.5 miles,"1,213 feet",Out & Back,"dog friendly, hiking, mountain biking, trail running, bird watching, lake, views, wildlife, rocky, no shade,",4.3
126,Mount Zion Loop - Sturtevant to Winter Creek Trails,HARD,269,"Angeles National Forest
",9.3 miles,"2,339 feet",Loop,"dog friendly, backpacking, camping, hiking, mountain biking, trail running, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs, over grown,",4.7
127,Millard Canyon Falls Trail,MODERATE,326,"Angeles National Forest
",2.6 miles,564 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, trail running, forest, partially paved, views, waterfall, wild flowers, wildlife, rocky, scramble, washed out,",4.5
128,Lewis Creek National Scenic Trail to Corlieu Falls and Red Rock Falls,MODERATE,405,"Sierra National Forest
",5.5 miles,977 feet,Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs,",4.5
129,Loch Leven Lakes Trail,MODERATE,389,"Tahoe National Forest
",8.1 miles,"1,545 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, snowshoeing, trail running, bird watching, forest, lake, views, wild flowers, wildlife, over grown, rocky, snow,",4.4
130,Skyline Trail: Cactus to Clouds,HARD,357,"Mount San Jacinto State Park
",17.5 miles,"10,577 feet",Point to Point,"backpacking, camping, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, rocky, scramble, snow, off trail, no dogs,",4.7
131,General Sherman Tree Trail,EASY,246,"Sequoia National Park
",0.8 miles,154 feet,Out & Back,"wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, walking, bird watching, forest, paved, views, no dogs,",4.2
132,Malibu Lake Trail,MODERATE,320,"Malibu Creek State Park
",6.6 miles,400 feet,Loop,"kid friendly, fishing, hiking, horseback riding, mountain biking, rock climbing, trail running, bird watching, forest, lake, partially paved, river, views, wild flowers, wildlife, bridge out, no dogs,",4.2
133,Santa Paula Canyon and Punch Bowls Trail,MODERATE,374,"Los Padres National Forest
",6.0 miles,744 feet,Out & Back,"dogs on leash, camping, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife, rocky, washed out,",4.4
134,Fairy Falls Trail to Beale/Shingle Falls,MODERATE,405,"Spenceville Wildlife Area
",5.3 miles,501 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, river, views, waterfall, wild flowers, wildlife,",4.2
135,Peters Canyon Lake View Trail,EASY,442,"Peters Canyon Regional Park
",2.9 miles,255 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, trail running, walking, lake, views, wild flowers, wildlife,",4.1
136,Fullerton Loop Trail,MODERATE,391,"Fullerton, California
",11.1 miles,898 feet,Loop,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, lake, rails trails, river, views, wild flowers, wildlife, rocky, washed out,",4.2
137,Rodeo Beach Coastal Trail Loop,MODERATE,307,"Golden Gate National Recreation Area
",4.8 miles,954 feet,Loop,"dog friendly, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, partially paved, views,",4.6
138,Crystal Lake Trail,MODERATE,259,"Inyo National Forest
",3.1 miles,833 feet,Out & Back,"dog friendly, kid friendly, fishing, hiking, nature trips, forest, lake, views, muddy, snow,",4.7
139,Marshall Canyon Trail,EASY,355,"Marshall Canyon Regional Park
",10.4 miles,"1,407 feet",Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers,",4.3
140,Stanford Dish Loop Trail,MODERATE,465,"Stanford, California
",3.8 miles,534 feet,Loop,"wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, trail running, walking, bird watching, paved, views, wild flowers, wildlife, no shade, no dogs,",4.3
141,Sly Park Jenkinson Lake Loop Trail,MODERATE,345,"Sly Park Recreation Area
",7.6 miles,629 feet,Loop,"dog friendly, kid friendly, cross country skiing, fishing, hiking, horseback riding, mountain biking, nature trips, paddle sports, snowshoeing, trail running, walking, bird watching, forest, lake, partially paved, views, waterfall, wild flowers, wildlife, snow,",4.3
142,"Wisdom Tree, Cahuenga Peak and Mount Lee Summit Loop",HARD,340,"Griffith Park
",3.7 miles,"1,368 feet",Loop,"dogs on leash, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, no shade,",4.4
143,Montara Mountain North Peak Loop Trail,MODERATE,302,"McNee Ranch State Park
",7.0 miles,"1,804 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, beach, partially paved, views, wild flowers, wildlife,",4.4
144,Double Peak Trail from Discover Lake,MODERATE,419,"Lakeview Park
",3.9 miles,"1,026 feet",Loop,"dog friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, partially paved, views,",4.2
145,Borrego Palm Canyon,MODERATE,422,"Anza-Borrego Desert State Park
",2.9 miles,462 feet,Loop,"kid friendly, hiking, views, waterfall, wild flowers, wildlife, rocky, scramble, no dogs,",4.5
146,Hermit Falls Trail,MODERATE,291,"Arcadia Wilderness Park
",2.5 miles,698 feet,Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, views, waterfall, wild flowers, wildlife,",4.1
147,Ernie Maxwell Scenic Trail,EASY,438,"San Jacinto Wilderness
",5.0 miles,859 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.4
148,Montara Mountain Trail,HARD,350,"San Pedro Valley County Park
",6.4 miles,"1,725 feet",Loop,"hiking, horseback riding, nature trips, trail running, bird watching, forest, views, wild flowers, rocky, no dogs,",4.5
149,Fern Canyon Loop Trail,EASY,298,"Prairie Creek Redwoods State Park
",1.1 miles,118 feet,Loop,"kid friendly, camping, hiking, nature trips, trail running, bird watching, forest, waterfall, wildlife, muddy, scramble, no dogs,",4.7
150,Lost Palms Oasis,MODERATE,265,"Joshua Tree National Park
",7.2 miles,"1,026 feet",Out & Back,"hiking, nature trips, rock climbing, trail running, bird watching, views, wild flowers, wildlife, rocky, scramble, no dogs,",4.5
151,Borrego Canyon Trail to Red Rock Canyon,EASY,361,"Whiting Ranch Wilderness Park
",4.1 miles,452 feet,Out & Back,"kid friendly, hiking, horseback riding, mountain biking, trail running, bird watching, views, wild flowers, wildlife, no dogs,",4.5
152,Soberanes Canyon Trail,HARD,351,"Garrapata State Park
",5.4 miles,"1,788 feet",Loop,"hiking, nature trips, trail running, bird watching, beach, forest, river, views, waterfall, wild flowers, wildlife, over grown, rocky, no dogs,",4.7
153,"Round Top, Volcanic and Skyline Trail Loop",EASY,250,"Robert Sibley Volcanic Regional Preserve
",3.5 miles,554 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, views, wild flowers, wildlife,",4.2
154,Lafayette Reservoir Nature Area Rim Trail,MODERATE,466,"Lafayette Reservoir Recreation Area
",4.9 miles,915 feet,Loop,"dogs on leash, kid friendly, fishing, hiking, nature trips, trail running, walking, bird watching, lake, partially paved, views, wild flowers, wildlife,",4.4
155,Crystal Cove Perimeter Loop,MODERATE,310,"Crystal Cove State Park
",9.4 miles,"1,354 feet",Loop,"kid friendly, stroller friendly, camping, hiking, nature trips, trail running, walking, bird watching, beach, forest, partially paved, views, wild flowers, wildlife, no dogs,",4.4
156,"Sunset, Sequoia Bayview, Cindarella, and Sinawik Loop",MODERATE,329,"Joaquin Miller Park
",3.2 miles,570 feet,Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, wildlife, rocky,",4.4
157,Uvas Canyon Waterfalls,MODERATE,313,"Uvas Canyon County Park
",7.9 miles,"2,490 feet",Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, bird watching, forest, views, waterfall, wild flowers, wildlife,",4.5
158,Tahquitz Canyon Loop Trail,EASY,378,"Santa Rosa and San Jacinto Mountains National Monument
",1.7 miles,291 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, views, waterfall, wild flowers, wildlife, bugs, no dogs,",4.6
159,Bump and Grind Trail,MODERATE,454,"Santa Rosa and San Jacinto Mountains National Monument
",4.0 miles,"1,105 feet",Loop,"hiking, mountain biking, nature trips, skiing, trail running, walking, bird watching, views, wild flowers, wildlife, no shade, no dogs,",4.2
160,Turnbull Canyon Trail,MODERATE,326,"Hellman Wilderness Park
",2.4 miles,334 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, walking, partially paved, views, wild flowers, wildlife,",4.2
161,Ahwingna and Native Oak Loop Trail,MODERATE,378,"Whittier, California
",4.4 miles,"1,161 feet",Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.3
162,Rainbow Falls via Devils Postpile Trail,EASY,238,"Devils Postpile National Monument
",4.8 miles,528 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, walking, forest, river, views, waterfall, wild flowers, wildlife, bridge out, no shade, historic site,",4.4
163,Towsley Canyon Loop Trail,MODERATE,344,"Santa Clarita Woodlands Park
",5.6 miles,"1,443 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, hot springs, views, wild flowers, wildlife, muddy, rocky,",4.4
164,Rae Lakes Trail,HARD,122,"Kings Canyon National Park
",41.4 miles,"7,844 feet",Loop,"backpacking, camping, hiking, nature trips, forest, lake, river, views, waterfall, wild flowers, wildlife, rocky, scramble, snow, no dogs,",4.9
165,Mount Judah Loop Trail,MODERATE,275,"Tahoe National Forest
",4.8 miles,"1,220 feet",Loop,"dog friendly, backpacking, hiking, nature trips, snowshoeing, trail running, walking, bird watching, forest, views, wild flowers, wildlife, rocky, snow,",4.6
166,Strawberry Peak Trail via Redbox Canyon,HARD,392,"Angeles National Forest
",7.2 miles,"1,788 feet",Out & Back,"dogs on leash, hiking, bird watching, forest, views, wild flowers, wildlife, muddy, rocky, scramble, snow, no shade,",4.5
167,McGinty Mountain Trail,MODERATE,440,"San Diego National Wildlife Refuge
",4.5 miles,"1,263 feet",Out & Back,"dog friendly, hiking, trail running, cave, views, wild flowers, wildlife, over grown, rocky, no shade,",4.3
168,Cougar Crest Trail,MODERATE,365,"San Bernardino National Forest
",5.3 miles,898 feet,Out & Back,"dogs on leash, backpacking, hiking, nature trips, snowshoeing, trail running, walking, bird watching, forest, views, wild flowers, wildlife, blowdown, muddy, rocky, snow,",4.5
169,Taft Point and The Fissures,EASY,176,"Yosemite National Park
",2.3 miles,374 feet,Out & Back,"kid friendly, hiking, horseback riding, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, rocky, no dogs,",4.7
170,Sunset Cliffs Park Trail,EASY,263,"Sunset Cliffs Natural Park
",1.7 miles,150 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, views, wildlife,",4.4
171,Little Lakes Valley to Gem Lakes,MODERATE,194,"John Muir Wilderness
",7.2 miles,994 feet,Out & Back,"dogs on leash, kid friendly, backpacking, camping, fishing, hiking, horseback riding, trail running, walking, bird watching, forest, lake, river, views, wild flowers, wildlife, bugs, snow,",4.9
172,Cowles Mountain from Big Rock Trail,MODERATE,381,"Mission Trails Regional Park
",4.5 miles,"1,204 feet",Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, walking, views, rocky,",4.4
173,Vernal and Nevada Falls via the Panorama Trail,HARD,185,"Yosemite National Park
",9.0 miles,977 feet,Point to Point,"hiking, nature trips, bird watching, forest, river, views, waterfall, wild flowers, wildlife, no dogs,",4.8
174,Vasquez Rocks Trail,MODERATE,395,"Vasquez Rocks Natural Area Park
",2.6 miles,452 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, road biking, rock climbing, trail running, walking, bird watching, views, wild flowers, wildlife, over grown, rocky, historic site,",4.3
175,Bailey Canyon Trail to Jones Peak,HARD,379,"Angeles National Forest
",6.0 miles,"2,273 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, bird watching, forest, views, waterfall, wild flowers, wildlife, no shade,",4.4
